Date,TB10YRS
1/1/1962,4.083181818
2/1/1962,4.039444444
3/1/1962,3.930454545
4/1/1962,3.843
5/1/1962,3.873636364
6/1/1962,3.909047619
7/1/1962,4.014285714
8/1/1962,3.975652174
9/1/1962,3.978947368
10/1/1962,3.925454545
11/1/1962,3.915789474
12/1/1962,3.8645
1/1/1963,3.833636364
2/1/1963,3.921111111
3/1/1963,3.928571429
4/1/1963,3.970952381
5/1/1963,3.93
6/1/1963,3.993
7/1/1963,4.020454545
8/1/1963,4.002272727
9/1/1963,4.0775
10/1/1963,4.106086957
11/1/1963,4.121764706
12/1/1963,4.128571429
1/1/1964,4.166818182
2/1/1964,4.145555556
3/1/1964,4.21952381
4/1/1964,4.232272727
5/1/1964,4.2
6/1/1964,4.17
7/1/1964,4.185909091
8/1/1964,4.193809524
9/1/1964,4.203809524
10/1/1964,4.188095238
11/1/1964,4.152777778
12/1/1964,4.179545455
1/1/1965,4.1895
2/1/1965,4.211111111
3/1/1965,4.210434783
4/1/1965,4.203809524
5/1/1965,4.2115
6/1/1965,4.213181818
7/1/1965,4.204761905
8/1/1965,4.252272727
9/1/1965,4.29047619
10/1/1965,4.3495
11/1/1965,4.448947368
12/1/1965,4.615454545
1/1/1966,4.612380952
2/1/1966,4.832105263
3/1/1966,4.873478261
4/1/1966,4.75
5/1/1966,4.778571429
6/1/1966,4.814545455
7/1/1966,5.018
8/1/1966,5.224347826
9/1/1966,5.182380952
10/1/1966,5.0115
11/1/1966,5.155263158
12/1/1966,4.842857143
1/1/1967,4.579047619
2/1/1967,4.626666667
3/1/1967,4.541818182
4/1/1967,4.5935
5/1/1967,4.847727273
6/1/1967,5.022727273
7/1/1967,5.159
8/1/1967,5.275652174
9/1/1967,5.302
10/1/1967,5.480952381
11/1/1967,5.7535
12/1/1967,5.699
1/1/1968,5.528636364
2/1/1968,5.563684211
3/1/1968,5.74
4/1/1968,5.6385
5/1/1968,5.869545455
6/1/1968,5.718
7/1/1968,5.495454545
8/1/1968,5.420454545
9/1/1968,5.46
10/1/1968,5.582608696
11/1/1968,5.696111111
12/1/1968,6.031904762
1/1/1969,6.041818182
2/1/1969,6.188947368
3/1/1969,6.296
4/1/1969,6.173333333
5/1/1969,6.323333333
6/1/1969,6.574285714
7/1/1969,6.71952381
8/1/1969,6.691428571
9/1/1969,7.15952381
10/1/1969,7.095454545
11/1/1969,7.144117647
12/1/1969,7.654090909
1/1/1970,7.794761905
2/1/1970,7.238333333
3/1/1970,7.072857143
4/1/1970,7.390909091
5/1/1970,7.906190476
6/1/1970,7.841818182
7/1/1970,7.457272727
8/1/1970,7.527142857
9/1/1970,7.38952381
10/1/1970,7.326666667
11/1/1970,6.841111111
12/1/1970,6.391363636
1/1/1971,6.2385
2/1/1971,6.112222222
3/1/1971,5.703478261
4/1/1971,5.833809524
5/1/1971,6.3925
6/1/1971,6.522272727
7/1/1971,6.72952381
8/1/1971,6.582727273
9/1/1971,6.13952381
10/1/1971,5.925789474
11/1/1971,5.81
12/1/1971,5.926363636
1/1/1972,5.947619048
2/1/1972,6.081
3/1/1972,6.068636364
4/1/1972,6.1945
5/1/1972,6.126363636
6/1/1972,6.106818182
7/1/1972,6.113
8/1/1972,6.210434783
9/1/1972,6.5495
10/1/1972,6.4795
11/1/1972,6.2805
12/1/1972,6.3585
1/1/1973,6.464545455
2/1/1973,6.635555556
3/1/1973,6.709090909
4/1/1973,6.6685
5/1/1973,6.847272727
6/1/1973,6.9
7/1/1973,7.130952381
8/1/1973,7.404782609
9/1/1973,7.090526316
10/1/1973,6.794285714
11/1/1973,6.7285
12/1/1973,6.743684211
1/1/1974,6.988636364
2/1/1974,6.957222222
3/1/1974,7.209047619
4/1/1974,7.512380952
5/1/1974,7.575909091
6/1/1974,7.5355
7/1/1974,7.805
8/1/1974,8.044090909
9/1/1974,8.0375
10/1/1974,7.896818182
11/1/1974,7.681111111
12/1/1974,7.433809524
1/1/1975,7.501363636
2/1/1975,7.392222222
3/1/1975,7.728
4/1/1975,8.226818182
5/1/1975,8.05952381
6/1/1975,7.860952381
7/1/1975,8.061363636
8/1/1975,8.397619048
9/1/1975,8.426666667
10/1/1975,8.137727273
11/1/1975,8.052941176
12/1/1975,7.996818182
1/1/1976,7.742380952
2/1/1976,7.792777778
3/1/1976,7.734347826
4/1/1976,7.564285714
5/1/1976,7.895
6/1/1976,7.861363636
7/1/1976,7.831904762
8/1/1976,7.768636364
9/1/1976,7.594285714
10/1/1976,7.411
11/1/1976,7.291052632
12/1/1976,6.869090909
1/1/1977,7.213333333
2/1/1977,7.391052632
3/1/1977,7.46
4/1/1977,7.3705
5/1/1977,7.456666667
6/1/1977,7.275454545
7/1/1977,7.33
8/1/1977,7.396521739
9/1/1977,7.343809524
10/1/1977,7.5235
11/1/1977,7.577368421
12/1/1977,7.685238095
1/1/1978,7.956190476
2/1/1978,8.033333333
3/1/1978,8.035909091
4/1/1978,8.154
5/1/1978,8.345714286
6/1/1978,8.462272727
7/1/1978,8.64
8/1/1978,8.410869565
9/1/1978,8.4165
10/1/1978,8.642380952
11/1/1978,8.805
12/1/1978,9.0065
1/1/1979,9.099545455
2/1/1979,9.098333333
3/1/1979,9.117272727
4/1/1979,9.182
5/1/1979,9.252380952
6/1/1979,8.913809524
7/1/1979,8.95
8/1/1979,9.029565217
9/1/1979,9.334736842
10/1/1979,10.29909091
11/1/1979,10.65315789
12/1/1979,10.386
1/1/1980,10.80227273
2/1/1980,12.41473684
3/1/1980,12.74904762
4/1/1980,11.47333333
5/1/1980,10.18142857
6/1/1980,9.778095238
7/1/1980,10.24772727
8/1/1980,11.10190476
9/1/1980,11.50857143
10/1/1980,11.75136364
11/1/1980,12.68470588
12/1/1980,12.84409091
1/1/1981,12.56857143
2/1/1981,13.19444444
3/1/1981,13.11590909
4/1/1981,13.67952381
5/1/1981,14.0995
6/1/1981,13.47227273
7/1/1981,14.28090909
8/1/1981,14.93714286
9/1/1981,15.32380952
10/1/1981,15.14809524
11/1/1981,13.39277778
12/1/1981,13.72454545
1/1/1982,14.594
2/1/1982,14.42555556
3/1/1982,13.86130435
4/1/1982,13.87190476
5/1/1982,13.6225
6/1/1982,14.29954545
7/1/1982,13.94619048
8/1/1982,13.055
9/1/1982,12.33904762
10/1/1982,10.9065
11/1/1982,10.55052632
12/1/1982,10.54
1/1/1983,10.45714286
2/1/1983,10.72473684
3/1/1983,10.50652174
4/1/1983,10.4
5/1/1983,10.38
6/1/1983,10.84863636
7/1/1983,11.377
8/1/1983,11.84608696
9/1/1983,11.65380952
10/1/1983,11.541
11/1/1983,11.69
12/1/1983,11.82952381
1/1/1984,11.67428571
2/1/1984,11.84210526
3/1/1984,12.31909091
4/1/1984,12.6335
5/1/1984,13.40863636
6/1/1984,13.56285714
7/1/1984,13.36238095
8/1/1984,12.71608696
9/1/1984,12.52263158
10/1/1984,12.16045455
11/1/1984,11.57263158
12/1/1984,11.4995
1/1/1985,11.38428571
2/1/1985,11.50888889
3/1/1985,11.8552381
4/1/1985,11.4347619
5/1/1985,10.84681818
6/1/1985,10.156
7/1/1985,10.30681818
8/1/1985,10.33181818
9/1/1985,10.37315789
10/1/1985,10.23681818
11/1/1985,9.781578947
12/1/1985,9.259047619
1/1/1986,9.193809524
2/1/1986,8.704210526
3/1/1986,7.7785
4/1/1986,7.299090909
5/1/1986,7.70952381
6/1/1986,7.79952381
7/1/1986,7.303181818
8/1/1986,7.165714286
9/1/1986,7.447619048
10/1/1986,7.426363636
11/1/1986,7.250555556
12/1/1986,7.112727273
1/1/1987,7.0845
2/1/1987,7.250526316
3/1/1987,7.248636364
4/1/1987,8.022857143
5/1/1987,8.613
6/1/1987,8.402272727
7/1/1987,8.446818182
8/1/1987,8.76047619
9/1/1987,9.421904762
10/1/1987,9.52
11/1/1987,8.860526316
12/1/1987,8.987727273
1/1/1988,8.665789474
2/1/1988,8.212
3/1/1988,8.373478261
4/1/1988,8.7185
5/1/1988,9.089047619
6/1/1988,8.921363636
7/1/1988,9.056
8/1/1988,9.260434783
9/1/1988,8.977142857
10/1/1988,8.7955
11/1/1988,8.9625
12/1/1988,9.105714286
1/1/1989,9.0915
2/1/1989,9.168947368
3/1/1989,9.357727273
4/1/1989,9.1755
5/1/1989,8.859090909
6/1/1989,8.277272727
7/1/1989,8.0185
8/1/1989,8.112608696
9/1/1989,8.1905
10/1/1989,8.007619048
11/1/1989,7.874285714
12/1/1989,7.836
1/1/1990,8.206666667
2/1/1990,8.473157895
3/1/1990,8.588636364
4/1/1990,8.7855
5/1/1990,8.758181818
6/1/1990,8.48
7/1/1990,8.471428571
8/1/1990,8.752608696
9/1/1990,8.893157895
10/1/1990,8.719545455
11/1/1990,8.392
12/1/1990,8.075
1/1/1991,8.091904762
2/1/1991,7.854736842
3/1/1991,8.11
4/1/1991,8.039090909
5/1/1991,8.067727273
6/1/1991,8.284
7/1/1991,8.272727273
8/1/1991,7.9
9/1/1991,7.65
10/1/1991,7.527272727
11/1/1991,7.417368421
12/1/1991,7.088571429
1/1/1992,7.032380952
2/1/1992,7.337894737
3/1/1992,7.542272727
4/1/1992,7.48047619
5/1/1992,7.392
6/1/1992,7.261818182
7/1/1992,6.844545455
8/1/1992,6.585714286
9/1/1992,6.415238095
10/1/1992,6.589047619
11/1/1992,6.873157895
12/1/1992,6.77
1/1/1993,6.6
2/1/1993,6.258947368
3/1/1993,5.975217391
4/1/1993,5.96952381
5/1/1993,6.0355
6/1/1993,5.962727273
7/1/1993,5.805238095
8/1/1993,5.677727273
9/1/1993,5.36
10/1/1993,5.334
11/1/1993,5.724
12/1/1993,5.774090909
1/1/1994,5.7505
2/1/1994,5.973157895
3/1/1994,6.482608696
4/1/1994,6.972105263
5/1/1994,7.183333333
6/1/1994,7.101363636
7/1/1994,7.298
8/1/1994,7.236086957
9/1/1994,7.457142857
10/1/1994,7.744
11/1/1994,7.955
12/1/1994,7.813809524
1/1/1995,7.7795
2/1/1995,7.469473684
3/1/1995,7.204782609
4/1/1995,7.062631579
5/1/1995,6.632727273
6/1/1995,6.168181818
7/1/1995,6.278
8/1/1995,6.48826087
9/1/1995,6.1975
10/1/1995,6.044761905
11/1/1995,5.93047619
12/1/1995,5.7115
1/1/1996,5.652380952
2/1/1996,5.8055
3/1/1996,6.268571429
4/1/1996,6.511363636
5/1/1996,6.736818182
6/1/1996,6.912
7/1/1996,6.865454545
8/1/1996,6.635454545
9/1/1996,6.832
10/1/1996,6.533636364
11/1/1996,6.203684211
12/1/1996,6.302380952
1/1/1997,6.579047619
2/1/1997,6.419473684
3/1/1997,6.6945
4/1/1997,6.885454545
5/1/1997,6.710952381
6/1/1997,6.493809524
7/1/1997,6.220454545
8/1/1997,6.298571429
9/1/1997,6.208571429
10/1/1997,6.029545455
11/1/1997,5.875
12/1/1997,5.808636364
1/1/1998,5.5445
2/1/1998,5.574736842
3/1/1998,5.647272727
4/1/1998,5.637619048
5/1/1998,5.6525
6/1/1998,5.496363636
7/1/1998,5.461363636
8/1/1998,5.341904762
9/1/1998,4.806666667
10/1/1998,4.53
11/1/1998,4.827368421
12/1/1998,4.645
1/1/1999,4.722105263
2/1/1999,4.998947368
3/1/1999,5.232608696
4/1/1999,5.184545455
5/1/1999,5.5395
6/1/1999,5.899545455
7/1/1999,5.791904762
8/1/1999,5.939090909
9/1/1999,5.915238095
10/1/1999,6.112
11/1/1999,6.034
12/1/1999,6.275454545
1/1/2000,6.661
2/1/2000,6.5195
3/1/2000,6.256521739
4/1/2000,5.990526316
5/1/2000,6.440454545
6/1/2000,6.097272727
7/1/2000,6.054
8/1/2000,5.826086957
9/1/2000,5.799
10/1/2000,5.738571429
11/1/2000,5.717142857
12/1/2000,5.2405
1/1/2001,5.160952381
2/1/2001,5.098947368
3/1/2001,4.885454545
4/1/2001,5.141
5/1/2001,5.391363636
6/1/2001,5.284285714
7/1/2001,5.236190476
8/1/2001,4.971304348
9/1/2001,4.731764706
10/1/2001,4.566818182
11/1/2001,4.6515
12/1/2001,5.0875
1/1/2002,5.035714286
2/1/2002,4.911578947
3/1/2002,5.284
4/1/2002,5.210909091
5/1/2002,5.164545455
6/1/2002,4.9265
7/1/2002,4.653181818
8/1/2002,4.257272727
9/1/2002,3.87
10/1/2002,3.940909091
11/1/2002,4.048421053
12/1/2002,4.032380952
1/1/2003,4.048571429
2/1/2003,3.902631579
3/1/2003,3.807142857
4/1/2003,3.958571429
5/1/2003,3.569047619
6/1/2003,3.334285714
7/1/2003,3.975454545
8/1/2003,4.445238095
9/1/2003,4.274285714
10/1/2003,4.290454545
11/1/2003,4.3
12/1/2003,4.267727273
1/1/2004,4.1505
2/1/2004,4.084210526
3/1/2004,3.826521739
4/1/2004,4.347619048
5/1/2004,4.7155
6/1/2004,4.733809524
7/1/2004,4.498095238
8/1/2004,4.281363636
9/1/2004,4.125714286
10/1/2004,4.097
11/1/2004,4.194
12/1/2004,4.230909091
1/1/2005,4.2215
2/1/2005,4.165263158
3/1/2005,4.497727273
4/1/2005,4.340952381
5/1/2005,4.144285714
6/1/2005,3.998181818
7/1/2005,4.1775
8/1/2005,4.262608696
9/1/2005,4.199047619
10/1/2005,4.4635
11/1/2005,4.535
12/1/2005,4.467142857
1/1/2006,4.416
2/1/2006,4.568947368
3/1/2006,4.723913043
4/1/2006,4.990526316
5/1/2006,5.11
6/1/2006,5.106363636
7/1/2006,5.0875
8/1/2006,4.876521739
9/1/2006,4.719
10/1/2006,4.729047619
11/1/2006,4.595238095
12/1/2006,4.5645
1/1/2007,4.75952381
2/1/2007,4.722631579
3/1/2007,4.564545455
4/1/2007,4.693809524
5/1/2007,4.746363636
6/1/2007,5.102857143
7/1/2007,5.004285714
8/1/2007,4.674782609
9/1/2007,4.521578947
10/1/2007,4.527727273
11/1/2007,4.1485
12/1/2007,4.0975
1/1/2008,3.744285714
2/1/2008,3.7375
3/1/2008,3.51
4/1/2008,3.675
5/1/2008,3.88
6/1/2008,4.09952381
7/1/2008,4.007727273
8/1/2008,3.885714286
9/1/2008,3.686190476
10/1/2008,3.814090909
11/1/2008,3.526666667
12/1/2008,2.416363636
1/1/2009,2.5175
2/1/2009,2.87
3/1/2009,2.819545455
4/1/2009,2.927142857
5/1/2009,3.293
6/1/2009,3.721818182
7/1/2009,3.562272727
8/1/2009,3.587142857
9/1/2009,3.401904762
10/1/2009,3.387619048
11/1/2009,3.402631579
12/1/2009,3.59
1/1/2010,3.733157895
2/1/2010,3.691052632
3/1/2010,3.727391304
4/1/2010,3.846818182
5/1/2010,3.42
6/1/2010,3.204090909
7/1/2010,3.011428571
8/1/2010,2.698636364
9/1/2010,2.647619048
10/1/2010,2.54
11/1/2010,2.763
12/1/2010,3.290909091
1/1/2011,3.394
2/1/2011,3.576315789
3/1/2011,3.414347826
4/1/2011,3.455
5/1/2011,3.168571429
6/1/2011,3.002272727
7/1/2011,3.003
8/1/2011,2.303043478
9/1/2011,1.975238095
10/1/2011,2.152
11/1/2011,2.0135
12/1/2011,1.978095238
1/1/2012,1.9665
2/1/2012,1.9675
3/1/2012,2.172727273
4/1/2012,2.052857143
5/1/2012,1.803181818
6/1/2012,1.622380952
7/1/2012,1.526666667
8/1/2012,1.67826087
9/1/2012,1.723157895
10/1/2012,1.746190476
11/1/2012,1.654
12/1/2012,1.719
1/1/2013,1.914761905
2/1/2013,1.984210526
3/1/2013,1.9575
4/1/2013,1.759090909
5/1/2013,1.928181818
6/1/2013,2.3
7/1/2013,2.582272727
8/1/2013,2.737272727
9/1/2013,2.8095
10/1/2013,2.615909091
11/1/2013,2.718421053
12/1/2013,2.901904762
1/1/2014,2.858095238
2/1/2014,2.709473684
3/1/2014,2.723333333
4/1/2014,2.705238095
5/1/2014,2.559047619
6/1/2014,2.598571429
7/1/2014,2.542272727
8/1/2014,2.42
9/1/2014,2.534285714
10/1/2014,2.304090909
11/1/2014,2.325555556
12/1/2014,2.207272727
1/1/2015,1.8815
2/1/2015,1.975263158
3/1/2015,2.042727273
4/1/2015,1.935
5/1/2015,2.1975
6/1/2015,2.363636364
7/1/2015,2.324545455
8/1/2015,2.167142857
9/1/2015,2.172857143
10/1/2015,2.07
11/1/2015,2.263157895
12/1/2015,2.242727273
1/1/2016,2.085263158
2/1/2016,1.7795
3/1/2016,1.889090909
4/1/2016,1.805238095
5/1/2016,1.806190476
6/1/2016,1.644090909
7/1/2016,1.504
8/1/2016,1.556521739
9/1/2016,1.63047619
10/1/2016,1.7645
11/1/2016,2.142
12/1/2016,2.491904762
1/1/2017,2.4325
2/1/2017,2.418947368
3/1/2017,2.48173913
4/1/2017,2.297368421
5/1/2017,2.303636364
6/1/2017,2.186818182
7/1/2017,2.318
8/1/2017,2.209130435
9/1/2017,2.202
10/1/2017,2.36
11/1/2017,2.353333333
12/1/2017,2.4025
1/1/2018,2.583809524
2/1/2018,2.858947368
3/1/2018,2.842380952
4/1/2018,2.869047619
5/1/2018,2.977727273
6/1/2018,2.912380952
7/1/2018,2.889047619
8/1/2018,2.889130435
9/1/2018,3.004210526
10/1/2018,3.152272727
11/1/2018,3.117
12/1/2018,2.832631579
1/1/2019,2.713809524
2/1/2019,2.676315789
3/1/2019,2.570952381
4/1/2019,2.532380952
5/1/2019,2.395
6/1/2019,2.074
7/1/2019,2.059090909
8/1/2019,1.626363636
9/1/2019,1.6995
10/1/2019,1.706818182
11/1/2019,1.812105263
12/1/2019,1.862857143
1/1/2020,1.757619048
2/1/2020,1.504210526
3/1/2020,0.87
4/1/2020,0.657619048
5/1/2020,0.674
6/1/2020,0.728636364
7/1/2020,0.623636364
8/1/2020,0.65
9/1/2020,0.67952381
10/1/2020,0.787142857
11/1/2020,0.87
12/1/2020,0.933636364
1/1/2021,1.081052632
2/1/2021,1.257894737
3/1/2021,1.610869565
4/1/2021,1.635
5/1/2021,1.621
6/1/2021,1.519090909
7/1/2021,1.318571429
8/1/2021,1.283181818
9/1/2021,1.374761905
10/1/2021,1.5825
11/1/2021,1.5595
12/1/2021,1.465
1/1/2022,1.764
2/1/2022,1.934210526
3/1/2022,2.127826087
4/1/2022,2.7475
5/1/2022,2.898095238
